id;name;jhi_key;account_type;ordered_by;jhi_level;isleaf;balance_account_id;legal_entity_id;chart_of_accounts_id;upper_account_id
159001;Pension and similar expenses;5.16.01.03;EXPENSE;571;8;true;159001;AAA;1;158154
159007;Temporary staff expenses;5.16.01.04;EXPENSE;572;8;true;159007;AAA;1;158154
159011;Share based payments;5.16.01.05;EXPENSE;573;8;true;159011;AAA;1;158154
159009;Other;5.16.01.99;EXPENSE;574;8;true;159009;AAA;1;158154
158155;General and administrative expenses (-);5.16.02;EXPENSE;575;3;false;158155;AAA;1;157991
159013;General and administrative expenses (-);5.16.02.01;EXPENSE;576;8;true;159013;AAA;1;158155
157992;Depreciation (+/-);5.17;EXPENSE;577;2;false;157992;AAA;1;157941
158158;Property: Plant and Equipment;5.17.01;EXPENSE;578;3;false;158158;AAA;1;157992
159015;Bank buildings and other properties - main depreciation;5.17.01.01;EXPENSE;579;8;true;159015;AAA;1;158158
232298;Bank buildings and other properties - special depreciation;5.17.01.03;EXPENSE;580;8;true;232298;AAA;1;158158
232294;Bank buildings and other properties - main depreciation - accruals;5.17.01.08;EXPENSE;581;8;true;232294;AAA;1;158158
232290;Other tangible fixed assets - main depreciation;5.17.01.11;EXPENSE;582;8;true;232290;AAA;1;158158
232292;Other tangible fixed assets - special depreciation;5.17.01.13;EXPENSE;583;8;true;232292;AAA;1;158158
232296;Other tangible fixed assets - main depreciation - accruals;5.17.01.18;EXPENSE;584;8;true;232296;AAA;1;158158
158157;Investment Properties;5.17.02;EXPENSE;585;3;false;158157;AAA;1;157992
159017;Investment Properties;5.17.02.01;EXPENSE;586;8;true;159017;AAA;1;158157
158156;Intangible assets (other than goodwill);5.17.03;EXPENSE;587;3;false;158156;AAA;1;157992
159019;Other intangible assets - main depreciation;5.17.03.01;EXPENSE;588;8;true;159019;AAA;1;158156
232302;Other intangible assets - special depreciation;5.17.03.03;EXPENSE;589;8;true;232302;AAA;1;158156
232300;Other intangible assets - main depreciation - accruals;5.17.03.08;EXPENSE;590;8;true;232300;AAA;1;158156
157993;Provisions (+/-);5.18;EXPENSE;591;2;false;157993;AAA;1;157941
159021;Provisions (+/-);5.18.01.01;EXPENSE;592;8;true;159021;AAA;1;157993
157983;Impairment (+/-);5.19;EXPENSE;593;2;false;157983;AAA;1;157941
158159;Impairment on financial assets not measured at fair value through profit or loss;5.19.01;EXPENSE;594;3;false;158159;AAA;1;157983
159025;(LAR) Financial assets measured at cost (unquoted equity);5.19.01.01;EXPENSE;595;8;true;159025;AAA;1;158159
159023;(AFS) Available-for-sale financial assets ;5.19.01.02;EXPENSE;596;8;true;159023;AAA;1;158159
159027;(AC) Loans and receivables measured at amortised cost (including finance leases);5.19.01.03;EXPENSE;597;8;true;159027;AAA;1;158159
159029;(HTM) Held to maturity investments measured at amortised cost;5.19.01.04;EXPENSE;598;8;true;159029;AAA;1;158159
158160;Impairment on non-financial assets: net (+/-);5.19.02;EXPENSE;599;3;false;158160;AAA;1;157983
159033;Property: plant and equipment;5.19.02.01;EXPENSE;600;8;true;159033;AAA;1;158160
159031;Investment properties;5.19.02.02;EXPENSE;601;8;true;159031;AAA;1;158160
159035;Goodwill;5.19.02.03;EXPENSE;602;8;true;159035;AAA;1;158160
159039;Other intangible assets;5.19.02.04;EXPENSE;603;8;true;159039;AAA;1;158160
159037;Other;5.19.02.99;EXPENSE;604;8;true;159037;AAA;1;158160
158004;Negative goodwill immediately recognised in profit or loss (+);5.20;INCOME;605;2;false;158004;AAA;1;157941
159041;Negative goodwill immediately recognised in profit or loss (+);5.20.01.01;INCOME;606;8;true;159041;AAA;1;158004
157988;Res.from non-curr.assets and disposal grps classif.HFT not qual.as discont.oper.;5.22;INCOME;607;2;false;157988;AAA;1;157941
159043;Res.from non-curr.assets and disposal grps classif.HFT not qual.as discont.oper.;5.22.01.01;INCOME;608;8;true;159043;AAA;1;157988
157989;Tax expense (income) related to profit or loss from continuing operations (-/+);5.24;EXPENSE;609;2;false;157989;AAA;1;157941
159045;Tax expense (income) related to profit or loss from continuing operations (-/+);5.24.01.01;EXPENSE;610;8;true;159045;AAA;1;157989
157990;Profit or loss after tax from discontinued operations (+/-);5.26;EXPENSE;611;2;false;157990;AAA;1;157941
159047;Profit or loss after tax from discontinued operations (+/-);5.26.01.01;EXPENSE;612;8;true;159047;AAA;1;157990
157938;Difference accounts;9;DIFFERENCE;791;0;false;157938;AAA;1;null
159049;Difference accounts - debit;9.01.01.01;DIFFERENCE;792;8;true;159049;AAA;1;157938
159051;Difference accounts - credit;9.01.01.02;DIFFERENCE;793;8;true;159051;AAA;1;157938
159057;Difference accounts - Charge/tax given to customers !!!;9.01.01.03;DIFFERENCE;794;8;true;159057;AAA;1;157938
159055;Difference accounts - debit - Migration;9.01.01.11;DIFFERENCE;795;8;true;159055;AAA;1;157938
159053;Difference accounts - credit - Migration;9.01.01.12;DIFFERENCE;796;8;true;159053;AAA;1;157938
